"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 08 12:41:31 GMT 2023","Wed Feb 08 12:41:42 GMT 2023","11039","","Ways of booking tickets for trip Packages #1","","Ways of booking tickets for trip Packages #1","User click on the ""PACKAGES tab""","User click on the ""PACKAGES tab""",""
"passed","Wed Feb 08 12:42:00 GMT 2023","Wed Feb 08 12:42:00 GMT 2023","0","","Ways of booking tickets for trip Packages #2","","Ways of booking tickets for trip Packages #2","User refer the ""BPM_SastaSafar_Web.xlsx""","User refer the ""BPM_SastaSafar_Web.xlsx""",""
"passed","Wed Feb 08 12:42:00 GMT 2023","Wed Feb 08 12:42:02 GMT 2023","2601","","Ways of booking tickets for trip Packages #2","","Ways of booking tickets for trip Packages #2","Verify the ""Home page"" with ""Home_Page_Title"" from given sheet ""TestData""","Verify the ""Home page"" with ""Home_Page_Title"" from given sheet ""TestData""",""
"passed","Wed Feb 08 12:41:27 GMT 2023","Wed Feb 08 12:41:27 GMT 2023","16","","Ways of booking tickets for trip Packages #1","","Ways of booking tickets for trip Packages #1","User refer the ""BPM_SastaSafar_Web.xlsx""","User refer the ""BPM_SastaSafar_Web.xlsx""",""
"passed","Wed Feb 08 12:41:42 GMT 2023","Wed Feb 08 12:41:45 GMT 2023","2715","","Ways of booking tickets for trip Packages #1","","Ways of booking tickets for trip Packages #1","Verify the ""packages home page"" with ""packages home page title"" from given sheet ""TestData""","Verify the ""packages home page"" with ""packages home page title"" from given sheet ""TestData""",""
"passed","Wed Feb 08 12:42:12 GMT 2023","Wed Feb 08 12:42:14 GMT 2023","2359","","Ways of booking tickets for trip Packages #2","","Ways of booking tickets for trip Packages #2","Verify the ""packages home page"" with ""packages home page title"" from given sheet ""TestData""","Verify the ""packages home page"" with ""packages home page title"" from given sheet ""TestData""",""
"passed","Wed Feb 08 12:42:02 GMT 2023","Wed Feb 08 12:42:12 GMT 2023","9699","","Ways of booking tickets for trip Packages #2","","Ways of booking tickets for trip Packages #2","User click on the ""PACKAGES tab""","User click on the ""PACKAGES tab""",""
"passed","Wed Feb 08 12:41:27 GMT 2023","Wed Feb 08 12:41:31 GMT 2023","4107","","Ways of booking tickets for trip Packages #1","","Ways of booking tickets for trip Packages #1","Verify the ""Home page"" with ""Home_Page_Title"" from given sheet ""TestData""","Verify the ""Home page"" with ""Home_Page_Title"" from given sheet ""TestData""",""
