"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri Feb 10 19:33:15 GMT 2023","Fri Feb 10 19:33:15 GMT 2023","0","","Ways of booking tickets for trip Flight","","Ways of booking tickets for trip Flight","User click on the ""Done button""","User click on the ""Done button""",""
"passed","Fri Feb 10 19:33:49 GMT 2023","Fri Feb 10 19:33:56 GMT 2023","6566","","Ways of booking tickets for trip Bus","","Ways of booking tickets for trip Bus","User click on the ""Bus Search From text field""","User click on the ""Bus Search From text field""",""
"passed","Fri Feb 10 19:31:19 GMT 2023","Fri Feb 10 19:31:26 GMT 2023","6577","","Find flight process","","Find flight process","User click on the ""Goa (GOI)""","User click on the ""Goa (GOI)""",""
"passed","Fri Feb 10 19:34:05 GMT 2023","Fri Feb 10 19:34:11 GMT 2023","6553","","Ways of booking tickets for trip Bus","","Ways of booking tickets for trip Bus","User click on the ""Bus Search To text field""","User click on the ""Bus Search To text field""",""
"passed","Fri Feb 10 19:31:17 GMT 2023","Fri Feb 10 19:31:19 GMT 2023","2572","","Find flight process","","Find flight process","User enters text in text field ""To_1"" from given sheet ""TestData""","User enters text in text field ""To_1"" from given sheet ""TestData""",""
"passed","Fri Feb 10 19:35:10 GMT 2023","Fri Feb 10 19:35:13 GMT 2023","2735","","Ways of booking tickets for trip Packages #1","","Ways of booking tickets for trip Packages #1","Verify the ""packages home page"" with ""packages home page title"" from given sheet ""TestData""","Verify the ""packages home page"" with ""packages home page title"" from given sheet ""TestData""",""
"passed","Fri Feb 10 19:35:43 GMT 2023","Fri Feb 10 19:35:46 GMT 2023","2717","","Ways of booking tickets for trip Packages #2","","Ways of booking tickets for trip Packages #2","Verify the ""packages home page"" with ""packages home page title"" from given sheet ""TestData""","Verify the ""packages home page"" with ""packages home page title"" from given sheet ""TestData""",""
"passed","Fri Feb 10 19:33:03 GMT 2023","Fri Feb 10 19:33:10 GMT 2023","6516","","Ways of booking tickets for trip Flight","","Ways of booking tickets for trip Flight","User click on the ""Date""","User click on the ""Date""",""
"passed","Fri Feb 10 19:34:56 GMT 2023","Fri Feb 10 19:35:00 GMT 2023","3572","","Ways of booking tickets for trip Packages #1","","Ways of booking tickets for trip Packages #1","Verify the ""Home page"" with ""Home_Page_Title"" from given sheet ""TestData""","Verify the ""Home page"" with ""Home_Page_Title"" from given sheet ""TestData""",""
"passed","Fri Feb 10 19:33:34 GMT 2023","Fri Feb 10 19:33:34 GMT 2023","1","","Ways of booking tickets for trip Bus","","Ways of booking tickets for trip Bus","User refer the ""BPM_SastaSafar_Web.xlsx""","User refer the ""BPM_SastaSafar_Web.xlsx""",""
"passed","Fri Feb 10 19:32:47 GMT 2023","Fri Feb 10 19:32:50 GMT 2023","2547","","Ways of booking tickets for trip Flight","","Ways of booking tickets for trip Flight","User enters text in text field ""To_2"" from given sheet ""TestData""","User enters text in text field ""To_2"" from given sheet ""TestData""",""
"passed","Fri Feb 10 19:35:32 GMT 2023","Fri Feb 10 19:35:43 GMT 2023","10523","","Ways of booking tickets for trip Packages #2","","Ways of booking tickets for trip Packages #2","User click on the ""PACKAGES tab""","User click on the ""PACKAGES tab""",""
"passed","Fri Feb 10 19:35:00 GMT 2023","Fri Feb 10 19:35:10 GMT 2023","10707","","Ways of booking tickets for trip Packages #1","","Ways of booking tickets for trip Packages #1","User click on the ""PACKAGES tab""","User click on the ""PACKAGES tab""",""
"skipped","Fri Feb 10 19:31:45 GMT 2023","Fri Feb 10 19:31:45 GMT 2023","0","","Find flight process","","Find flight process","User click on the ""Economy""","User click on the ""Economy""",""
"passed","Fri Feb 10 19:34:11 GMT 2023","Fri Feb 10 19:34:14 GMT 2023","2558","","Ways of booking tickets for trip Bus","","Ways of booking tickets for trip Bus","User enters text in text field ""Bus Search To"" from given sheet ""TestData""","User enters text in text field ""Bus Search To"" from given sheet ""TestData""",""
"passed","Fri Feb 10 19:32:31 GMT 2023","Fri Feb 10 19:32:34 GMT 2023","2599","","Ways of booking tickets for trip Flight","","Ways of booking tickets for trip Flight","User enters text in text field ""From"" from given sheet ""TestData""","User enters text in text field ""From"" from given sheet ""TestData""",""
"skipped","Fri Feb 10 19:31:45 GMT 2023","Fri Feb 10 19:31:45 GMT 2023","1","","Find flight process","","Find flight process","User click on the ""Search button""","User click on the ""Search button""",""
"passed","Fri Feb 10 19:31:32 GMT 2023","Fri Feb 10 19:31:39 GMT 2023","6651","","Find flight process","","Find flight process","User click on the ""Date""","User click on the ""Date""",""
"passed","Fri Feb 10 19:33:46 GMT 2023","Fri Feb 10 19:33:49 GMT 2023","2731","","Ways of booking tickets for trip Bus","","Ways of booking tickets for trip Bus","Verify the ""Bus home page"" with ""Bus home page title"" from given sheet ""TestData""","Verify the ""Bus home page"" with ""Bus home page title"" from given sheet ""TestData""",""
"passed","Fri Feb 10 19:35:29 GMT 2023","Fri Feb 10 19:35:29 GMT 2023","2","","Ways of booking tickets for trip Packages #2","","Ways of booking tickets for trip Packages #2","User refer the ""BPM_SastaSafar_Web.xlsx""","User refer the ""BPM_SastaSafar_Web.xlsx""",""
"passed","Fri Feb 10 19:32:34 GMT 2023","Fri Feb 10 19:32:41 GMT 2023","6573","","Ways of booking tickets for trip Flight","","Ways of booking tickets for trip Flight","User click on the ""Chennai (MAA)""","User click on the ""Chennai (MAA)""",""
"skipped","Fri Feb 10 19:33:15 GMT 2023","Fri Feb 10 19:33:15 GMT 2023","0","","Ways of booking tickets for trip Flight","","Ways of booking tickets for trip Flight","User click on the ""Economy""","User click on the ""Economy""",""
